nombre_empleado;edad;departamento;salud;dinero;familia;amor
Camila Arango;26;Compras;1%;2%;13%;8%
Valentina Pérez;50;Compras;23%;11%;19%;13%
Sebastián Arango;60;Ventas;8%;10%;6%;19%
Sebastián Rodríguez;64;Sistemas;4%;21%;6%;24%
Carlos Fernández;28;Compras;18%;18%;19%;23%
Andrea Torres;45;Producción;4%;19%;21%;15%
Camila Ramírez;62;Compras;7%;9%;15%;8%
Sebastián Arango;33;Ventas;17%;24%;8%;20%
Luis Arango;54;Marketing;2%;22%;10%;14%
Juan Arango;19;Compras;9%;13%;12%;19%
Pedro Rodríguez;52;Logística;22%;24%;17%;14%
Sebastián Sánchez;46;Sistemas;21%;21%;20%;21%
Carlos Fernández;40;Producción;15%;5%;19%;6%
Sebastián Pérez;29;Recursos Humanos;3%;25%;18%;12%
Luis Ramírez;56;Sistemas;25%;7%;7%;21%
Carlos Rodríguez;24;Logística;8%;8%;7%;19%
Juan Rodríguez;40;Marketing;12%;12%;25%;24%
Luis Ramírez;47;Ventas;2%;6%;6%;23%
Pedro Arango;34;Finanzas;9%;14%;21%;8%
Pedro Ramírez;45;Logística;15%;18%;13%;16%
Andrea Gómez;42;Logística;2%;24%;15%;13%
Sebastián Sánchez;59;Logística;5%;5%;24%;13%
Juan Martínez;32;Compras;10%;25%;21%;1%
Mariana Rodríguez;60;Logística;16%;20%;3%;7%
Sebastián Fernández;53;Compras;18%;14%;25%;19%
Camila Martínez;26;Compras;17%;14%;14%;1%
Laura Fernández;33;Producción;7%;24%;8%;13%
Camila Torres;43;Marketing;2%;11%;24%;13%
Pedro Torres;52;Ventas;7%;12%;5%;10%
Mariana Fernández;47;Logística;9%;6%;1%;15%
Carlos Martínez;40;Producción;7%;1%;3%;8%
Valentina Arango;49;Ventas;18%;11%;14%;8%
Camila Arango;39;Recursos Humanos;3%;24%;1%;16%
Laura Rodríguez;45;Marketing;5%;12%;3%;23%
Pedro López;51;Sistemas;20%;19%;7%;23%
Mariana Sánchez;51;Marketing;5%;15%;20%;19%
Laura Sánchez;23;Marketing;2%;12%;22%;22%
Laura Sánchez;53;Sistemas;6%;22%;25%;17%
Sebastián López;33;Marketing;2%;13%;12%;6%
Mariana Torres;39;Marketing;6%;11%;5%;18%
Carlos Torres;35;Finanzas;25%;21%;12%;4%
Laura Ramírez;34;Ventas;18%;23%;1%;24%
Carlos Ramírez;49;Finanzas;18%;4%;19%;3%
Sebastián Sánchez;36;Sistemas;20%;6%;1%;4%
Juan Martínez;18;Finanzas;2%;18%;8%;5%
Mariana Martínez;59;Finanzas;9%;13%;8%;11%
Pedro Martínez;27;Producción;11%;17%;20%;18%
Pedro Ramírez;43;Finanzas;25%;7%;2%;9%
Juan Ramírez;23;Marketing;5%;4%;19%;6%
Luis Torres;36;Recursos Humanos;2%;14%;6%;4%
Mariana Gómez;58;Finanzas;23%;2%;20%;5%
Luis López;54;Ventas;6%;16%;16%;19%
Andrea Pérez;29;Ventas;22%;24%;6%;23%
Carlos Sánchez;38;Logística;2%;11%;16%;11%
Sebastián Ramírez;55;Ventas;16%;15%;23%;1%
Juan Martínez;44;Finanzas;1%;1%;5%;24%
Juan Torres;35;Marketing;24%;5%;2%;11%
Valentina Martínez;31;Compras;2%;19%;24%;24%
Valentina Sánchez;22;Compras;14%;15%;21%;4%
Andrea Arango;18;Producción;23%;4%;14%;23%
Andrea Torres;41;Recursos Humanos;3%;12%;22%;18%
Carlos Torres;32;Logística;22%;13%;22%;9%
Carlos Fernández;60;Compras;25%;23%;17%;24%
Pedro Gómez;59;Marketing;5%;11%;4%;17%
Luis Pérez;23;Sistemas;8%;3%;8%;12%
Andrea López;38;Recursos Humanos;9%;7%;7%;19%
Andrea Ramírez;29;Producción;3%;5%;23%;19%
Mariana Fernández;22;Ventas;6%;22%;8%;17%
Camila Rodríguez;64;Compras;11%;9%;12%;14%
Andrea Gómez;41;Ventas;12%;13%;22%;12%
Mariana Ramírez;22;Logística;24%;18%;19%;14%
Sebastián Ramírez;63;Marketing;25%;25%;4%;21%
Andrea Gómez;28;Sistemas;3%;2%;11%;19%
Luis Gómez;32;Finanzas;20%;19%;25%;3%
Mariana Arango;46;Producción;20%;11%;22%;2%
Laura Sánchez;56;Logística;25%;25%;25%;14%
Andrea Torres;63;Producción;20%;14%;6%;9%
Luis Arango;47;Logística;16%;25%;20%;6%
Camila Sánchez;29;Marketing;3%;24%;13%;5%
Camila Pérez;45;Recursos Humanos;7%;21%;24%;25%
Valentina Sánchez;50;Producción;24%;22%;17%;20%
Laura Torres;21;Recursos Humanos;25%;21%;20%;24%
Sebastián Fernández;19;Ventas;21%;23%;18%;5%
Carlos Martínez;62;Recursos Humanos;1%;20%;8%;8%
Pedro Torres;43;Logística;7%;2%;16%;16%
Juan Ramírez;61;Marketing;1%;16%;25%;12%
Juan Martínez;60;Recursos Humanos;8%;3%;23%;19%
Luis Gómez;19;Marketing;5%;9%;22%;3%
Camila Sánchez;35;Marketing;23%;12%;19%;19%
Sebastián Ramírez;43;Marketing;19%;14%;22%;12%
Carlos Arango;44;Ventas;9%;19%;5%;15%
Luis Gómez;61;Finanzas;9%;18%;23%;10%
Juan Martínez;43;Sistemas;11%;14%;10%;15%
Mariana Torres;35;Producción;25%;15%;15%;12%
Laura Sánchez;23;Finanzas;2%;16%;21%;4%
Mariana Pérez;33;Producción;23%;18%;20%;6%
Luis Martínez;65;Sistemas;10%;19%;16%;9%
Pedro Torres;43;Recursos Humanos;21%;22%;22%;15%
Juan Fernández;59;Compras;18%;5%;16%;2%
Mariana Torres;54;Marketing;18%;5%;19%;21%
Carlos Ramírez;48;Compras;21%;9%;17%;16%
Pedro Torres;30;Producción;13%;3%;3%;1%
Laura Ramírez;42;Marketing;14%;16%;21%;10%
Valentina Sánchez;19;Compras;9%;23%;7%;16%
Valentina Gómez;51;Recursos Humanos;23%;3%;16%;17%
Carlos Rodríguez;33;Compras;17%;4%;5%;17%
Laura Ramírez;49;Producción;7%;5%;3%;23%
Juan Martínez;62;Logística;18%;7%;8%;15%
Camila López;50;Finanzas;6%;4%;1%;19%
Mariana Fernández;40;Marketing;22%;11%;15%;11%
Carlos Fernández;19;Producción;23%;2%;16%;12%
Valentina Pérez;29;Ventas;25%;24%;15%;22%
Mariana Pérez;64;Recursos Humanos;24%;1%;20%;6%
Carlos Torres;18;Ventas;18%;9%;22%;1%
Mariana Ramírez;50;Logística;24%;10%;7%;25%
Camila López;19;Compras;25%;10%;4%;17%
Valentina Gómez;41;Marketing;22%;12%;13%;17%
Luis Sánchez;54;Compras;17%;11%;11%;18%
Luis Gómez;22;Sistemas;22%;24%;10%;8%
Andrea Gómez;43;Logística;1%;2%;10%;23%
Carlos Sánchez;28;Finanzas;24%;1%;23%;15%
Pedro Arango;32;Finanzas;12%;4%;5%;17%
Pedro Arango;35;Logística;1%;1%;2%;10%
Sebastián Arango;37;Producción;1%;14%;7%;22%
Valentina Martínez;58;Ventas;8%;17%;15%;20%
Pedro Gómez;41;Logística;14%;2%;5%;4%
Carlos Martínez;46;Ventas;6%;6%;7%;4%
Juan Martínez;49;Finanzas;24%;5%;4%;8%
Juan Sánchez;33;Compras;15%;15%;21%;5%
Laura Martínez;37;Logística;24%;10%;17%;8%
Camila López;40;Ventas;3%;3%;5%;23%
Pedro Ramírez;62;Sistemas;2%;6%;5%;19%
Camila López;53;Compras;15%;24%;9%;24%
Andrea Arango;49;Compras;22%;7%;6%;2%
Carlos Torres;51;Recursos Humanos;4%;25%;15%;1%
Juan Ramírez;37;Logística;12%;19%;20%;24%
Luis Sánchez;19;Compras;24%;4%;19%;17%
Mariana Rodríguez;51;Sistemas;3%;12%;7%;12%
Andrea Arango;61;Sistemas;2%;6%;10%;5%
Pedro Torres;62;Logística;7%;14%;21%;1%
Andrea Rodríguez;34;Recursos Humanos;8%;1%;20%;19%
Juan Gómez;51;Sistemas;3%;14%;22%;23%
Andrea Martínez;63;Producción;24%;2%;20%;5%
Valentina López;60;Marketing;25%;23%;14%;5%
Andrea Pérez;20;Marketing;1%;1%;4%;10%
Juan Fernández;31;Recursos Humanos;17%;15%;12%;3%
Mariana Fernández;30;Marketing;21%;18%;12%;9%
Andrea López;35;Producción;11%;8%;7%;5%
Valentina Martínez;20;Marketing;13%;13%;10%;15%
Mariana Martínez;35;Marketing;4%;18%;24%;11%
Mariana Ramírez;29;Finanzas;8%;13%;4%;23%
Andrea Rodríguez;22;Finanzas;7%;24%;23%;4%
Juan Ramírez;18;Recursos Humanos;25%;16%;22%;4%
Mariana Sánchez;63;Producción;19%;11%;4%;8%
Andrea Torres;20;Finanzas;20%;12%;17%;13%
Pedro Rodríguez;28;Finanzas;25%;15%;18%;2%
Mariana Martínez;24;Finanzas;1%;15%;19%;11%
Pedro Arango;52;Marketing;3%;16%;7%;4%
Juan Arango;19;Logística;16%;8%;10%;23%
Laura Rodríguez;25;Compras;11%;12%;10%;19%
Andrea Torres;26;Recursos Humanos;24%;6%;20%;17%
Sebastián Pérez;20;Marketing;18%;3%;2%;22%
Pedro Martínez;47;Logística;13%;6%;20%;15%
Sebastián Gómez;64;Producción;18%;1%;7%;13%
Sebastián Fernández;40;Ventas;10%;1%;13%;8%
Camila Pérez;23;Recursos Humanos;10%;25%;11%;7%
Mariana Fernández;21;Producción;2%;8%;24%;17%
Andrea Gómez;55;Logística;9%;13%;22%;6%
Mariana Ramírez;29;Finanzas;10%;4%;24%;7%
Laura Torres;28;Producción;20%;11%;6%;10%
Valentina Pérez;51;Ventas;4%;21%;21%;24%
Andrea Pérez;41;Finanzas;20%;4%;24%;6%
Pedro López;33;Compras;3%;10%;14%;15%
Valentina Ramírez;36;Finanzas;16%;10%;11%;15%
Laura López;59;Producción;16%;3%;14%;3%
Luis López;26;Recursos Humanos;19%;11%;7%;13%
Andrea Pérez;62;Sistemas;16%;16%;12%;2%
Sebastián Torres;52;Recursos Humanos;16%;18%;7%;17%
Luis Ramírez;48;Sistemas;2%;14%;6%;15%
Juan Gómez;63;Finanzas;4%;17%;21%;11%
Mariana Torres;44;Compras;12%;10%;25%;5%
Camila Martínez;39;Producción;4%;7%;5%;12%
Juan Rodríguez;53;Sistemas;23%;12%;9%;1%
Luis López;39;Sistemas;8%;17%;1%;16%
Pedro Fernández;22;Recursos Humanos;18%;3%;24%;2%
Valentina Pérez;19;Sistemas;3%;12%;19%;18%
Mariana Martínez;43;Finanzas;7%;24%;19%;22%
Sebastián Torres;55;Compras;15%;1%;23%;13%
Luis Sánchez;55;Compras;7%;5%;14%;15%
Sebastián Rodríguez;39;Compras;16%;17%;22%;9%
Pedro Ramírez;58;Finanzas;3%;10%;23%;21%
Carlos Sánchez;33;Finanzas;13%;20%;21%;9%
Mariana López;26;Finanzas;17%;25%;11%;23%
Sebastián Martínez;53;Finanzas;1%;2%;23%;14%
Andrea Fernández;38;Recursos Humanos;20%;17%;24%;18%
Laura Arango;46;Sistemas;14%;20%;8%;23%
Laura Torres;60;Sistemas;23%;10%;5%;25%
Andrea Torres;24;Sistemas;13%;6%;1%;4%
Luis Arango;56;Producción;14%;25%;18%;16%
Mariana Ramírez;18;Compras;10%;16%;18%;2%
Camila Sánchez;44;Sistemas;9%;19%;5%;19%
Valentina Arango;55;Compras;5%;15%;11%;25%
Luis Gómez;48;Finanzas;19%;6%;22%;5%
Mariana Torres;29;Producción;4%;12%;13%;18%
Luis Martínez;21;Producción;6%;21%;1%;8%
Laura Gómez;63;Logística;7%;19%;17%;2%
Pedro Martínez;46;Ventas;17%;17%;11%;4%
Mariana Pérez;33;Logística;10%;17%;9%;12%
Camila Martínez;40;Recursos Humanos;9%;12%;18%;13%
Valentina Rodríguez;60;Marketing;8%;6%;10%;7%
Laura Torres;30;Logística;5%;5%;25%;14%
Luis Rodríguez;29;Finanzas;20%;1%;20%;3%
Carlos Pérez;22;Recursos Humanos;13%;20%;9%;17%
Sebastián Sánchez;21;Compras;14%;12%;25%;7%
Valentina Torres;54;Ventas;15%;17%;9%;15%
Pedro Gómez;33;Recursos Humanos;17%;1%;22%;2%
Laura Fernández;37;Sistemas;8%;18%;16%;19%
Sebastián Ramírez;18;Recursos Humanos;25%;10%;10%;21%
Carlos Pérez;36;Sistemas;12%;16%;18%;6%
Sebastián Arango;20;Ventas;7%;3%;7%;10%
Mariana Torres;52;Logística;24%;2%;16%;17%
Carlos Martínez;35;Marketing;19%;23%;10%;17%
Carlos Martínez;20;Sistemas;4%;9%;17%;16%
Laura Fernández;45;Compras;18%;10%;17%;18%
Laura Ramírez;29;Logística;19%;10%;1%;11%
Pedro Fernández;59;Finanzas;1%;18%;1%;1%
Luis Ramírez;50;Producción;24%;19%;1%;22%
Pedro Pérez;35;Finanzas;2%;24%;10%;10%
Carlos López;59;Logística;17%;15%;10%;17%
Luis Rodríguez;29;Marketing;15%;9%;10%;13%
Sebastián Pérez;24;Logística;6%;8%;25%;21%
Juan Fernández;34;Finanzas;10%;2%;17%;14%
Mariana Fernández;45;Logística;13%;8%;11%;6%
Mariana Pérez;49;Ventas;11%;12%;24%;18%
Laura Rodríguez;34;Marketing;9%;18%;6%;2%
Mariana Torres;53;Compras;3%;8%;1%;15%
Laura Pérez;31;Sistemas;18%;12%;12%;8%
Carlos Gómez;51;Ventas;24%;15%;15%;24%
Laura Ramírez;33;Producción;8%;4%;15%;23%
Laura Torres;51;Ventas;6%;17%;6%;23%
Carlos Sánchez;31;Sistemas;8%;20%;2%;16%
Luis Arango;32;Logística;25%;19%;21%;17%
Valentina López;21;Ventas;4%;1%;7%;10%
Laura López;63;Finanzas;13%;1%;5%;23%
Pedro Rodríguez;52;Recursos Humanos;18%;2%;20%;2%
Mariana Gómez;52;Producción;19%;1%;15%;22%
Valentina Fernández;54;Finanzas;21%;24%;7%;9%
Carlos Rodríguez;65;Producción;7%;23%;16%;10%
Valentina Sánchez;57;Finanzas;13%;19%;23%;11%
Laura Martínez;21;Recursos Humanos;22%;9%;11%;7%
Carlos Pérez;49;Compras;2%;24%;20%;7%
Andrea Rodríguez;20;Recursos Humanos;23%;11%;12%;6%
Mariana Gómez;30;Ventas;4%;16%;15%;24%
Carlos Torres;24;Recursos Humanos;9%;24%;21%;11%
Pedro López;38;Logística;18%;11%;18%;23%
Laura Gómez;30;Marketing;12%;22%;5%;24%
Pedro Fernández;22;Marketing;16%;25%;25%;19%
Pedro Gómez;56;Logística;10%;5%;21%;25%
Valentina Rodríguez;45;Compras;20%;9%;14%;11%
Juan Arango;62;Compras;12%;10%;10%;21%
Mariana Martínez;63;Ventas;13%;23%;17%;24%
Laura Rodríguez;58;Sistemas;2%;17%;7%;25%
Laura Ramírez;50;Producción;5%;11%;4%;3%
Camila López;58;Logística;20%;8%;8%;24%
Sebastián Arango;49;Recursos Humanos;8%;12%;15%;11%
Valentina Gómez;23;Sistemas;4%;25%;19%;19%
Luis Fernández;24;Producción;23%;10%;1%;24%
Mariana Arango;40;Finanzas;24%;10%;11%;7%
Pedro Pérez;46;Sistemas;5%;1%;24%;23%
Juan López;51;Compras;18%;15%;16%;21%
Laura Ramírez;65;Finanzas;17%;15%;6%;25%
Pedro Ramírez;47;Producción;17%;10%;20%;21%
Camila Pérez;56;Sistemas;17%;3%;5%;10%
Laura Gómez;41;Logística;1%;8%;11%;15%
Luis Ramírez;25;Recursos Humanos;20%;1%;18%;22%
Juan Pérez;22;Ventas;1%;13%;16%;16%
Sebastián Martínez;65;Finanzas;19%;16%;1%;3%
Luis Ramírez;26;Ventas;15%;3%;7%;12%
Juan Sánchez;19;Ventas;2%;19%;1%;14%
Carlos Rodríguez;44;Finanzas;18%;15%;23%;8%
Juan Pérez;25;Compras;3%;15%;5%;1%
Valentina Arango;36;Compras;10%;20%;24%;14%
Camila Martínez;32;Sistemas;16%;5%;2%;8%
Camila Ramírez;62;Sistemas;24%;17%;1%;2%
Carlos Pérez;42;Ventas;16%;6%;12%;1%
Luis Rodríguez;24;Finanzas;24%;15%;18%;6%
Juan Ramírez;19;Logística;6%;10%;14%;7%
Pedro Torres;49;Finanzas;4%;17%;6%;15%
Laura Pérez;30;Producción;2%;17%;11%;24%
Juan Arango;61;Recursos Humanos;8%;7%;3%;3%
Sebastián Rodríguez;41;Recursos Humanos;13%;5%;9%;13%
Sebastián Ramírez;36;Recursos Humanos;19%;19%;9%;22%
Pedro Torres;61;Finanzas;15%;19%;10%;23%
Laura Gómez;59;Recursos Humanos;10%;25%;1%;9%
Luis Arango;40;Ventas;21%;10%;23%;23%
Camila Sánchez;56;Sistemas;7%;15%;20%;4%
Luis Rodríguez;53;Finanzas;4%;20%;13%;12%
Mariana López;36;Finanzas;21%;17%;16%;4%
Valentina Gómez;49;Marketing;22%;13%;4%;10%
Valentina Pérez;50;Compras;15%;19%;9%;17%
Valentina López;60;Sistemas;4%;25%;24%;16%
Mariana Gómez;63;Marketing;15%;5%;2%;21%
Valentina López;32;Recursos Humanos;11%;14%;15%;9%
Luis López;19;Producción;2%;25%;5%;13%
Luis Rodríguez;63;Compras;2%;18%;21%;20%
Juan Pérez;51;Marketing;24%;20%;7%;17%
Juan López;50;Producción;17%;16%;17%;1%
Andrea Pérez;48;Ventas;4%;14%;3%;4%
Valentina Fernández;42;Compras;10%;5%;18%;10%
Camila Martínez;56;Logística;25%;14%;11%;23%
Laura Fernández;58;Sistemas;12%;16%;15%;5%
Andrea Ramírez;32;Ventas;4%;1%;16%;17%
Pedro Pérez;52;Ventas;20%;24%;9%;22%
Luis Gómez;52;Logística;1%;16%;7%;13%
Valentina Gómez;30;Finanzas;19%;11%;4%;7%
Mariana Torres;25;Finanzas;18%;14%;18%;7%
Mariana Gómez;19;Finanzas;9%;19%;12%;10%
Camila Pérez;38;Recursos Humanos;21%;9%;2%;21%
Sebastián Arango;44;Marketing;8%;8%;23%;14%
Camila Fernández;26;Ventas;3%;11%;14%;11%
Luis Pérez;51;Ventas;8%;7%;13%;11%
Laura Torres;37;Finanzas;16%;12%;21%;8%
Pedro Fernández;19;Ventas;21%;3%;23%;2%
Carlos Sánchez;34;Producción;17%;25%;3%;23%
Sebastián Sánchez;50;Compras;7%;20%;18%;13%
Laura Pérez;19;Logística;16%;6%;6%;7%
Carlos Rodríguez;57;Producción;24%;7%;10%;17%
Andrea Pérez;52;Sistemas;16%;19%;8%;13%
Valentina Ramírez;28;Logística;13%;1%;19%;22%
Luis Martínez;59;Producción;17%;23%;21%;9%
Sebastián Pérez;19;Ventas;20%;8%;14%;6%
Laura Gómez;51;Sistemas;21%;21%;9%;9%
Laura Fernández;53;Ventas;7%;10%;18%;12%
Valentina Sánchez;44;Ventas;10%;21%;14%;19%
Pedro Pérez;35;Logística;22%;3%;1%;3%
Luis Arango;32;Compras;17%;15%;12%;24%
Sebastián Ramírez;29;Recursos Humanos;25%;21%;10%;6%
Pedro Torres;40;Finanzas;5%;5%;12%;5%
Andrea Torres;40;Logística;17%;23%;17%;25%
Luis Arango;30;Ventas;25%;20%;19%;18%
Sebastián Fernández;53;Finanzas;3%;20%;23%;13%
Valentina Torres;58;Logística;15%;24%;21%;21%
Andrea Fernández;42;Logística;5%;15%;1%;9%
Carlos López;50;Marketing;2%;1%;1%;1%
Mariana Torres;34;Producción;17%;6%;10%;24%
Camila Ramírez;61;Recursos Humanos;5%;11%;6%;17%
Carlos Torres;25;Sistemas;17%;25%;17%;23%
Juan Fernández;39;Recursos Humanos;24%;4%;6%;14%
Pedro Martínez;63;Ventas;3%;12%;5%;17%
Luis Gómez;54;Recursos Humanos;22%;4%;8%;10%
Pedro Fernández;42;Ventas;12%;7%;6%;14%
Andrea Rodríguez;28;Finanzas;13%;25%;15%;17%
Mariana Pérez;63;Finanzas;22%;4%;1%;24%
Camila Fernández;35;Compras;23%;12%;25%;4%
Laura López;61;Marketing;10%;25%;19%;4%
Juan Martínez;22;Recursos Humanos;10%;11%;16%;13%
Andrea Martínez;43;Ventas;5%;21%;23%;9%
Juan Arango;64;Logística;24%;7%;3%;15%
Valentina Sánchez;38;Recursos Humanos;12%;16%;24%;2%
Camila Pérez;52;Compras;13%;4%;1%;2%
Mariana Sánchez;60;Compras;24%;7%;6%;19%
Camila Fernández;26;Compras;9%;8%;24%;24%
Pedro Ramírez;34;Finanzas;22%;8%;22%;5%
Valentina Arango;48;Sistemas;7%;6%;22%;8%
Camila Fernández;46;Sistemas;10%;21%;23%;19%
Luis López;40;Marketing;17%;18%;3%;10%
Mariana Rodríguez;30;Producción;21%;8%;1%;19%
Carlos Torres;37;Sistemas;2%;12%;17%;20%
Andrea Pérez;61;Marketing;1%;16%;3%;7%
Mariana Pérez;42;Recursos Humanos;20%;10%;4%;14%
Valentina Gómez;20;Ventas;19%;15%;8%;19%
Juan Martínez;35;Producción;6%;7%;10%;12%
Juan Pérez;22;Ventas;3%;13%;16%;5%
Andrea Gómez;54;Ventas;8%;25%;6%;14%
Laura Pérez;43;Producción;17%;16%;21%;18%
Laura Torres;62;Sistemas;8%;23%;17%;3%
Laura Sánchez;51;Recursos Humanos;20%;19%;20%;22%
Sebastián Pérez;27;Finanzas;24%;5%;14%;19%
Carlos Rodríguez;24;Ventas;14%;14%;11%;21%
Pedro Fernández;26;Recursos Humanos;22%;21%;14%;14%
Juan Rodríguez;18;Sistemas;24%;8%;20%;13%
Laura Gómez;55;Recursos Humanos;9%;8%;13%;3%
Camila Pérez;62;Producción;8%;8%;7%;8%
Valentina Ramírez;19;Producción;23%;9%;14%;2%
Carlos López;58;Recursos Humanos;11%;11%;10%;4%
Valentina Gómez;63;Logística;6%;5%;12%;6%
Camila Martínez;43;Marketing;19%;18%;10%;16%
Luis Fernández;51;Ventas;25%;11%;9%;12%
Pedro Sánchez;29;Producción;6%;10%;2%;25%
Pedro López;39;Compras;13%;2%;9%;20%
Sebastián Gómez;47;Finanzas;7%;7%;22%;16%
Carlos Fernández;54;Producción;16%;6%;11%;14%
Juan Martínez;18;Recursos Humanos;5%;13%;25%;25%
Juan Pérez;21;Finanzas;25%;24%;4%;11%
Carlos Torres;65;Logística;8%;9%;3%;16%
Laura Rodríguez;57;Logística;4%;2%;5%;1%
Valentina Fernández;38;Recursos Humanos;9%;10%;24%;7%
Camila Gómez;23;Ventas;10%;24%;3%;23%
Pedro Torres;63;Ventas;16%;8%;21%;24%
Carlos Torres;19;Logística;19%;22%;3%;3%
Sebastián Sánchez;55;Producción;3%;23%;9%;14%
Andrea Fernández;64;Ventas;19%;1%;24%;2%
Laura Ramírez;22;Marketing;20%;18%;7%;3%
Carlos Fernández;59;Ventas;2%;20%;21%;9%
Camila Pérez;49;Ventas;3%;24%;22%;14%
Camila López;33;Recursos Humanos;13%;12%;20%;12%
Carlos Sánchez;29;Finanzas;9%;23%;22%;18%
Mariana Ramírez;45;Sistemas;1%;11%;24%;25%
Mariana Ramírez;51;Marketing;7%;1%;21%;3%
Valentina Martínez;53;Finanzas;7%;6%;19%;9%
Valentina Torres;59;Finanzas;9%;3%;22%;22%
Valentina Rodríguez;28;Sistemas;18%;11%;7%;7%
Valentina López;39;Sistemas;6%;18%;4%;7%
Sebastián Ramírez;23;Logística;12%;13%;2%;16%
Valentina Fernández;58;Logística;20%;13%;8%;13%
Carlos Sánchez;55;Compras;21%;14%;8%;21%
Andrea Martínez;30;Ventas;4%;1%;16%;9%
Pedro Martínez;52;Producción;3%;22%;16%;15%
Andrea Gómez;33;Producción;10%;2%;19%;12%
Juan Arango;20;Sistemas;1%;7%;13%;12%
Juan López;39;Ventas;6%;11%;10%;8%
Andrea Sánchez;63;Marketing;1%;20%;9%;6%
Pedro Ramírez;27;Logística;4%;11%;1%;19%
Camila Ramírez;54;Recursos Humanos;5%;22%;1%;11%
Juan Martínez;63;Recursos Humanos;6%;15%;8%;14%
Camila Rodríguez;28;Marketing;11%;6%;16%;6%
Juan Sánchez;54;Compras;9%;2%;22%;5%
Mariana Arango;36;Logística;3%;23%;2%;13%
Andrea Gómez;53;Producción;7%;6%;3%;5%
Pedro Gómez;28;Logística;18%;18%;13%;12%
Luis Pérez;33;Ventas;2%;4%;12%;10%
Sebastián Torres;49;Logística;1%;17%;14%;10%
Juan Fernández;49;Ventas;25%;7%;14%;23%
Valentina Sánchez;60;Sistemas;14%;7%;10%;18%
Valentina Arango;63;Logística;15%;8%;2%;20%
Luis Fernández;56;Sistemas;25%;4%;16%;1%
Carlos Martínez;56;Recursos Humanos;18%;3%;8%;12%
Andrea Gómez;39;Logística;21%;16%;8%;4%
Carlos Fernández;63;Finanzas;6%;11%;3%;2%
Andrea Ramírez;26;Marketing;15%;6%;19%;24%
Pedro Fernández;32;Finanzas;18%;1%;18%;21%
Laura Sánchez;32;Logística;1%;9%;1%;18%
Pedro Rodríguez;23;Finanzas;3%;25%;5%;8%
Andrea Sánchez;51;Finanzas;21%;12%;13%;4%
Mariana Fernández;34;Sistemas;2%;10%;14%;12%
Laura Gómez;18;Finanzas;2%;23%;24%;9%
Carlos Martínez;49;Marketing;11%;14%;24%;5%
Valentina Rodríguez;53;Recursos Humanos;6%;16%;17%;23%
Mariana Pérez;57;Marketing;23%;9%;1%;1%
Luis Pérez;21;Marketing;4%;23%;10%;6%
Laura Pérez;56;Producción;21%;21%;15%;18%
Juan Gómez;43;Producción;1%;25%;10%;12%
Luis Ramírez;51;Logística;21%;14%;14%;12%
Mariana Rodríguez;29;Recursos Humanos;14%;20%;25%;22%
Laura Fernández;64;Sistemas;15%;15%;6%;3%
Carlos Arango;31;Ventas;8%;1%;16%;8%
Juan Martínez;30;Compras;18%;13%;17%;17%
Mariana Sánchez;37;Marketing;6%;13%;23%;24%
Camila Martínez;45;Marketing;10%;3%;7%;5%
Mariana Martínez;45;Ventas;15%;17%;25%;4%
Camila Sánchez;33;Logística;18%;15%;10%;22%
Pedro Sánchez;45;Marketing;5%;10%;15%;11%
Camila Martínez;51;Producción;10%;17%;6%;15%
Mariana Ramírez;54;Logística;10%;23%;20%;3%
Andrea Arango;52;Ventas;19%;10%;7%;1%
Luis Torres;51;Compras;25%;19%;5%;23%
Camila Gómez;24;Logística;25%;13%;3%;12%
Valentina López;61;Finanzas;19%;17%;22%;20%
Andrea Martínez;58;Producción;1%;6%;21%;3%
Juan López;57;Compras;10%;17%;20%;10%
Juan López;46;Marketing;5%;5%;19%;24%
Camila Arango;26;Producción;20%;11%;21%;6%
Laura Martínez;23;Recursos Humanos;17%;23%;12%;2%
Mariana Martínez;29;Sistemas;20%;15%;21%;8%
Valentina López;62;Ventas;13%;20%;11%;11%
Andrea Torres;21;Sistemas;1%;4%;1%;25%
Andrea Sánchez;27;Finanzas;3%;18%;7%;1%
Pedro Rodríguez;28;Sistemas;4%;10%;21%;9%
Andrea Martínez;32;Marketing;13%;7%;21%;4%
Pedro Pérez;41;Finanzas;1%;19%;22%;21%
Luis Ramírez;41;Ventas;3%;22%;18%;1%
Laura Gómez;32;Producción;22%;20%;20%;3%
Pedro Sánchez;30;Logística;3%;4%;13%;9%
Mariana Ramírez;59;Recursos Humanos;21%;14%;8%;19%
Carlos Rodríguez;34;Sistemas;5%;21%;9%;19%
Luis Torres;45;Compras;9%;24%;15%;4%
Juan Gómez;41;Recursos Humanos;18%;8%;21%;10%
Laura Torres;18;Logística;12%;21%;22%;14%
Valentina Martínez;55;Sistemas;23%;20%;4%;20%
Sebastián López;24;Logística;18%;14%;5%;21%
Juan Ramírez;59;Ventas;15%;8%;20%;7%
Mariana Martínez;44;Compras;16%;2%;11%;2%
Camila Rodríguez;20;Compras;22%;18%;19%;5%
Camila López;63;Compras;8%;3%;7%;23%
Sebastián Torres;32;Recursos Humanos;11%;22%;14%;19%
Laura López;28;Sistemas;1%;5%;22%;6%
Pedro Gómez;52;Producción;14%;23%;18%;7%
Valentina Gómez;24;Finanzas;10%;6%;4%;16%
